n,gamma,eps,diameter,cover,omega_active,cover_margin,m
2,55.664663,1.0,59.1155185648233,1,0,-3.552713678800501e-15,4
2,51.144247,1.0,37.63833372041864,1,0,-3.552713678800501e-15,4
2,15.33163,1.0,60.58282267351208,1,1,-1.4210854715202004e-14,4
2,154.70797,1.0,97.30972470917457,1,0,-4.263256414560601e-14,4
2,10.274063,1.0,255.1968444149828,1,1,0.0,6
2,119.25785,1.0,21.249770423218582,1,0,0.0,4
2,75.938209,1.0,55.194558017805065,1,0,-1.7763568394002505e-14,4
2,90.545577,1.0,30.993240180227932,0,0,-0.3770810705397931,4
2,163.690643,1.0,95.34455317714239,0,1,-0.29035735466702306,6
2,44.066924,1.0,43.85162796123163,1,0,-1.0302869668521453e-13,4
2,129.475304,1.0,55.5681282137409,1,0,-4.973799150320701e-14,4
2,168.693466,1.0,267.10943943677717,1,0,0.0,4
2,89.88458,1.0,33.755017728115256,1,0,-3.552713678800501e-14,4
2,134.849745,1.0,81.03698231018858,1,0,-1.4210854715202004e-14,4
2,80.82414,1.0,62.149041466463984,1,0,0.0,4
2,131.186804,1.0,36.445246691295374,1,0,0.0,4
2,50.505301,1.0,74.24827454291804,1,0,0.0,4
2,133.409376,1.0,44.402765488873385,1,0,-1.0658141036401503e-14,4
2,11.532815,1.0,270.7787576001347,1,0,0.0,4
2,1.127818,1.0,574.9738285590448,1,1,0.0,5
2,5.598573,1.0,460.87725718094094,1,0,-2.842170943040401e-14,4
2,104.489317,1.0,48.68677558941057,1,0,-4.973799150320701e-14,4
2,67.340175,1.0,66.114228968781,1,0,0.0,4
2,179.331861,1.0,1090.6429292236176,1,1,0.0,6
2,35.074613,1.0,56.40788488116329,1,0,-3.907985046680551e-14,4
2,166.236067,1.0,298.0853099305881,1,0,0.0,4
2,87.104596,1.0,51.17827933760713,1,0,-2.4868995751603507e-14,4
2,52.578572,1.0,77.05473852859261,1,1,0.0,5
2,6.326795,1.0,636.6355058147894,1,1,0.0,5
2,150.452431,1.0,45.13667482598841,1,0,-1.7763568394002505e-14,4
2,3.899402,1.0,425.2320795068565,0,1,-0.44813241402727044,7
2,4.140527,1.0,269.52762021445625,0,1,-0.23677781002737674,5
2,1.929776,1.0,533.7868275559555,0,1,-0.007142265987909013,5
2,116.585321,1.0,69.68826513910079,1,0,0.0,4
2,163.845015,1.0,222.52199541903522,1,0,0.0,4
2,115.108474,1.0,50.68930283551616,1,0,0.0,4
2,162.562102,1.0,175.8906827690643,1,0,-4.263256414560601e-14,4
2,74.841645,1.0,65.44496973418872,1,0,-1.4210854715202004e-14,4
2,68.144299,1.0,67.08279736172024,1,0,-7.105427357601002e-15,4
2,72.930007,1.0,33.74763780048571,1,0,-1.1013412404281553e-13,4
2,91.378654,1.0,48.4946961044043,0,1,-0.419156208679631,6
2,21.474419,1.0,93.08893206045737,1,1,-1.0658141036401503e-13,5
2,29.908723,1.0,93.43748197329576,1,0,-2.1316282072803006e-14,4
2,121.907925,1.0,67.27068963815644,1,0,-4.973799150320701e-14,4
2,121.211855,1.0,72.07365307206682,1,0,-1.4210854715202004e-14,4
2,63.807669,1.0,37.60556315330843,1,0,0.0,4
2,126.121012,1.0,74.81219618329051,1,0,0.0,4
